stat_date,adcode,lng,lat,province,city,district,formatted_address,skycon,astro_sunrise,astro_sunset,cloudrate_avg,cloudrate_max,cloudrate_min,dswrf_avg,dswrf_max,dswrf_min,temperature_avg,temperature_max,temperature_min,precipitation_avg,precipitation_max,precipitation_min,pressure_avg,pressure_max,pressure_min,wind_direction_avg,wind_direction_max,wind_direction_min,wind_speed_avg,wind_speed_max,wind_speed_min,humidity_avg,humidity_max,humidity_min,visibility_avg,visibility_max,visibility_min,pm25_avg,pm25_max,pm25_min,life_index_carwashing_desc,life_index_carwashing_index,life_index_coldrisk_desc,life_index_coldrisk_index,life_index_comfort_desc,life_index_comfort_index,life_index_dressing_desc,life_index_dressing_index,life_index_ultraviolet_desc,life_index_ultraviolet_index,skycon_desc,precipitation_avg_desc,precipitation_max_desc,precipitation_min_desc,cloudrate_avg_desc,cloudrate_max_desc,cloudrate_min_desc,pm25_avg_desc,pm25_max_desc,pm25_min_desc,wind_direction_avg_dec,wind_direction_max_dec,wind_direction_min_dec,wind_speed_avg_desc,wind_speed_max_desc,wind_speed_min_desc,temperature_08h_20h_avg,temperature_08h_20h_max,temperature_08h_20h_min,temperature_20h_32h_avg,temperature_20h_32h_max,temperature_20h_32h_min,ds
20220915,510300,104.778442,29.33903,四川省,自贡市,\N,四川省自贡市,LIGHT_RAIN,06:45,19:06,0.94,1,0.54,24,77.6,0,22.08,24,20,0.23,3.99,0,96887.35,97025.29,96705.29,321.29,352.01,255.77,7.1,15.14,3.02,0.91,0.95,0.85,11.03,15.43,6.95,17,23,12,较不适宜,3,易发,3,温暖,4,热,3,最弱,1,小雨,小雨,暴雨,无雨,多云,多云,多云,\N,\N,\N,西北(NW),\N,西西南(WSW),2级(清风),3级(树叶摇摆),1级(微风徐徐),\N,\N,\N,\N,\N,\N,20220915
20220915,510400,101.718637,26.582347,四川省,攀枝花市,\N,四川省攀枝花市,PARTLY_CLOUDY_DAY,06:58,19:18,0.78,1,0.22,108,390.9,0,23.78,28,19,0,0,0,84003.36,84156.21,83789.29,36.69,37.69,35.79,2.54,6.54,0.39,0.91,0.95,0.8,15.93,22.96,10.73,4,10,3,较不适宜,3,极易发,4,热,3,热,3,最弱,1,多云（白天）,无雨,无雨,无雨,多云,多云,多云,\N,\N,\N,东北(NE),东北(NE),东北(NE),1级(微风徐徐),2级(清风),0级(无风),\N,\N,\N,\N,\N,\N,20220915
20220915,510500,105.442258,28.871811,四川省,泸州市,\N,四川省泸州市,CLOUDY,06:42,19:04,0.95,1,0.67,39.1,152.9,0,22.58,25,20,0,0,0,96945.2,97128.29,96808.29,284.67,315.89,241.92,6.34,9.49,2.34,0.9,0.94,0.83,14.59,20.69,8.47,10,28,3,较不适宜,3,易发,3,温暖,4,热,3,最弱,1,阴,无雨,无雨,无雨,多云,多云,多云,\N,\N,\N,西西北(WNW),西北(NW),西西南(WSW),2级(清风),2级(清风),1级(微风徐徐),\N,\N,\N,\N,\N,\N,20220915
20220915,510600,104.397894,31.126855,四川省,德阳市,\N,四川省德阳市,PARTLY_CLOUDY_DAY,06:46,19:09,0.79,0.99,0.43,151.7,494,0,21.04,24,19,0.01,0.17,0,94860.44,95113.47,94633.47,64.18,90.24,29.72,7.98,12.22,3.5,0.86,0.94,0.72,14.25,18.1,12.19,23,29,19,较不适宜,3,易发,3,温暖,4,温暖,4,弱,2,多云（白天）,无雨,小雨,无雨,多云,多云,多云,\N,\N,\N,东东北(ENE),东(E),北东北(NNE),2级(清风),3级(树叶摇摆),1级(微风徐徐),\N,\N,\N,\N,\N,\N,20220915
20220915,632700,97.091934,33.011674,青海省,玉树藏族自治州,\N,青海省玉树藏族自治州,LIGHT_RAIN,07:15,19:38,0.38,1,0.04,271.9,863,0,11.54,20,3,0.29,2.51,0,60586.33,60865.67,60266.36,174.43,173.94,200.34,5.01,10.62,0.44,0.71,0.9,0.43,14.21,26.98,6.19,6,10,4,较不适宜,3,极易发,4,很冷,8,凉爽,5,很强,5,小雨,中雨,暴雨,无雨,多云,多云,晴,\N,\N,\N,南(S),南(S),南西南(SSW),1级(微风徐徐),2级(清风),0级(无风),\N,\N,\N,\N,\N,\N,20220915
20220915,510700,104.679114,31.46745,四川省,绵阳市,\N,四川省绵阳市,PARTLY_CLOUDY_DAY,06:45,19:08,0.71,0.99,0.29,176.7,585.6,0,21.58,24,19,0,0,0,95021.73,95260.74,94838.05,76.7,109.1,47.78,7.48,13.45,2.45,0.85,0.93,0.7,14.21,16.7,12.45,24,31,18,较不适宜,3,易发,3,温暖,4,温暖,4,中等,3,多云（白天）,无雨,无雨,无雨,多云,多云,多云,\N,\N,\N,东东北(ENE),东东南(ESE),东北(NE),2级(清风),3级(树叶摇摆),1级(微风徐徐),\N,\N,\N,\N,\N,\N,20220915
20220915,510800,105.843357,32.435435,四川省,广元市,\N,四川省广元市,CLOUDY,06:40,19:03,0.99,1,0.92,87.5,371,0,20.27,24,18,0,0,0,91445.66,91732.08,91214.9,25.98,3.04,98.29,4.96,6.66,1.52,0.91,0.98,0.75,11.91,14.48,10.54,15,19,11,较不适宜,3,易发,3,温暖,4,温暖,4,最弱,1,阴,无雨,无雨,无雨,多云,多云,多云,\N,\N,\N,北东北(NNE),\N,东(E),1级(微风徐徐),2级(清风),1级(微风徐徐),\N,\N,\N,\N,\N,\N,20220915
20220915,632600,100.244808,34.471431,青海省,果洛藏族自治州,\N,青海省果洛藏族自治州,LIGHT_RAIN,07:01,19:26,0.47,1,0.02,234,675.1,0,7.58,15.42,-0.69,0.07,0.7,0,61731.17,62027.4,61427.5,173.15,152.73,180.1,6.15,12.13,0.92,0.75,0.95,0.43,7.97,15.34,0.27,15,22,10,较不适宜,3,极易发,4,很冷,8,冷,6,很强,5,小雨,小雨,暴雨,无雨,多云,多云,晴,\N,\N,\N,南(S),南东南(SSE),南(S),2级(清风),3级(树叶摇摆),0级(无风),\N,\N,\N,\N,\N,\N,20220915
20220915,510900,105.592898,30.532847,四川省,遂宁市,\N,四川省遂宁市,MODERATE_RAIN,06:41,19:04,0.98,1,0.9,22.9,106.8,0,21.6,23,19,0.54,5,0,97030.98,97189.91,96873.81,35.19,17.41,51.34,7.88,18.9,1.17,0.93,0.96,0.89,11.36,16.7,4.45,22,29,15,较不适宜,3,易发,3,温暖,4,温暖,4,最弱,1,中雨,暴雨,暴雨,无雨,多云,多云,多云,\N,\N,\N,东北(NE),北东北(NNE),东北(NE),2级(清风),3级(树叶摇摆),1级(微风徐徐),\N,\N,\N,\N,\N,\N,20220915
20220915,511000,105.058433,29.580228,四川省,内江市,\N,四川省内江市,LIGHT_RAIN,06:44,19:05,0.96,1,0.75,17.1,61.8,0,23.04,24,19,0.14,1.41,0,96880.21,97034.52,96714.52,348.13,358.82,275.5,7.49,18.7,2.78,0.92,0.94,0.89,11.63,16.8,7.36,17,23,12,较不适宜,3,易发,3,温暖,4,热,3,最弱,1,小雨,小雨,暴雨,无雨,多云,多云,多云,\N,\N,\N,北西北(NNW),\N,西(W),2级(清风),3级(树叶摇摆),1级(微风徐徐),\N,\N,\N,\N,\N,\N,20220915
